Pays,Compagnie,Constructeur,Modèle,Quantité,Age Moyen
Portugal,Tap Air Portugal,Airbus,A320Neo,11,3
Portugal,Tap Air Portugal,Airbus,A321Neo,22,7
Portugal,Tap Air Portugal,Airbus,A319,6,22
Portugal,Tap Air Portugal,Airbus,A320,15,16.9
Portugal,Tap Air Portugal,Airbus,A321,3,20.7
Portugal,Tap Air Portugal,Airbus,A330-200,3,14.7
Portugal,Tap Air Portugal,Airbus,A330-900,19,13.5
Portugal,Tap Air Portugal,ATR,72-600,1,7
Portugal,Tap Air Portugal,Embraer,E190,15,11.6
Portugal,Tap Air Portugal,Embraer,E195,7,11.9
Portugal,Azores Airlines,Airbus,A321Neo,5,3.2
Portugal,Azores Airlines,Airbus,A320,3,18.7
Portugal,SATA Air Acores,De Havilland,Dash 8-200,2,25.5
Portugal,SATA Air Acores,De Havilland,Dash 8-400,5,12.6
Portugal,Euro Atlantic Airways,Boeing,B767-300,3,20
Portugal ,Euro Atlantic Airways,Boeing,B777-200,3,20.7
Espagne,Vueling,Airbus,A320Neo,25,3.6
Espagne,Vueling,Airbus,A321Neo,2,0.3
Espagne,Vueling,Airbus,A319,6,15.8
Espagne,Vueling,Airbus,A320,75,11.1
Espagne,Vueling,Airbus,A321,18,6.6
Espagne,Volotea,Airbus,A319,20,18.2
Espagne,Volotea,Airbus,A320,21,13.8
Espagne,Iberia,Airbus,A320Neo,15,2.3
Espagne,Iberia,Airbus,A319,6,16.2
Espagne,Iberia,Airbus,A320,13,15.4
Espagne,Iberia,Airbus,A321,11,19.6
Espagne,Iberia,Airbus,A330-200,10,5.9
Espagne,Iberia,Airbus,A330-300,8,9.4
Espagne,Iberia,Airbus,A350-900,16,2.4
Espagne,Iberia,ATR,72-600,10,9.9
Espagne,Iberia,Bombardier,CRJ-200,5,23.4
Espagne,Iberia,Bombardier,CRJ-1000,27,7.5
Espagne,Air Europa,Boeing,B737-800,26,9.3
Espagne,Air Europa,Boeing,B787-800,11,7
Espagne,Air Europa,Boeing,B787-900,20,3
Espagne,Binter Canarias,ATR,72-500,5,13.8
Espagne,Binter Canarias,ATR,72-600,22,3.9
Espagne,Binter Canarias,Embraer,E295,5,2.4
Espagne,Iberojet,Airbus,A320,1,9
Espagne,Iberojet,Airbus,A330-300,1,7
Espagne,Iberojet,Airbus,A330-900,1,2
Espagne,Iberojet,Airbus,A350-900,2,3.5
Espagne,Wamos Air,Airbus,A330-200,4,14.8
Espagne,Wamos Air,Airbus,A330-300,5,13.1
Espagne,Canary Fly,ATR,72-500,6,13.5
Espagne,Iberia Express,Airbus,A321Neo,6,1.6
Espagne,Iberia Express,Airbus,A320,15,16.8
Espagne,Iberia Express,Airbus,A321,4,17.5
Espagne,Plus Ultra,Airbus,A330-200,4,15.8
